Last Price	Change	% Change	Volume	Open Interest	Strike	Last Price	Change	% Change	Volume	Open Interest
14.80	2.80	23.33%	5	402	10.00	0.01	0.00	0.00%	1	801
11.24	0.00	0.00%	2	153	11.00	0.01	0.00	0.00%	1	3,341
11.99	0.00	0.00%	4	107	12.00	0.01	0.00	0.00%	1	9,865
9.75	0.00	0.00%	10	384	13.00	0.01	0.00	0.00%	1	8,475
10.59	0.74	8.12%	2	431	14.00	0.01	0.00	0.00%	2	2,217
9.63	2.21	29.78%	14	1,071	15.00	0.01	0.00	0.00%	2	6,557
9.35	1.45	18.35%	2	719	16.00	0.01	0.00	0.00%	50	10,687
8.90	1.48	19.95%	10	21	16.50	0.01	0.00	0.00%	1	694
7.61	1.09	16.72%	24	333	17.00	0.01	0.00	0.00%	1	6,341
7.05	0.59	9.13%	84	338	17.50	0.01	0.00	0.00%	10	2,984
6.74	1.79	36.16%	361	1,867	18.00	0.01	0.00	0.00%	68	30,483
6.23	1.93	44.88%	40	517	18.50	0.01	0.00	0.00%	11	7,708
5.55	0.67	13.73%	607	7,020	19.00	0.01	0.00	0.00%	906	27,903
5.15	0.50	10.75%	481	2,483	19.50	0.01	0.00	0.00%	582	15,659
4.57	0.52	12.87%	2,956	23,782	20.00	0.01	0.00	0.00%	429	55,904
4.06	0.63	18.37%	1,424	11,624	20.50	0.01	0.00	0.00%	187	8,279
3.57	0.71	24.74%	5,800	70,637	21.00	0.01	0.00	0.00%	497	29,483
3.06	0.74	31.90%	4,303	19,062	21.50	0.01	0.00	0.00%	627	8,970
2.55	0.60	30.46%	12,351	58,031	22.00	0.01	-0.02	-66.67%	1,677	27,837
2.22	0.82	58.57%	7,281	15,417	22.50	0.01	-0.09	-90.00%	2,361	12,739
1.57	0.48	44.04%	39,936	55,652	23.00	0.01	-0.22	-95.65%	32,357	10,704
1.08	0.30	38.46%	17,102	23,076	23.50	0.01	-0.44	-97.78%	15,376	12,552
0.56	-0.02	-3.45%	56,807	54,682	24.00	0.02	-0.73	-97.33%	49,768	11,570
0.09	-0.33	-78.57%	54,446	9,300	24.50	0.04	-1.06	-96.36%	48,013	81
0.01	-0.33	-97.06%	180,078	68,714	25.00	0.44	-1.01	-70.14%	52,849	6,368
0.01	-0.25	-96.15%	66,612	10,303	25.50	0.93	-0.95	-50.80%	11,465	43
0.01	-0.18	-94.74%	47,678	35,152	26.00	1.44	-0.71	-33.97%	2,399	1,663
0.01	-0.14	-93.33%	16,886	32,625	27.00	2.47	-2.23	-47.45%	57	385
0.01	-0.10	-90.91%	9,414	35,744	28.00	2.82	-2.48	-46.79%	89	336
0.01	-0.08	-88.89%	1,914	8,199	29.00	3.70	-1.40	-27.45%	38	133
0.01	-0.05	-83.33%	1,964	43,566	30.00	4.85	-5.20	-51.74%	104	0
0.01	-0.04	-80.00%	445	13,686	31.00	8.65	0.00	0.00%	2	0
0.01	-0.06	-85.71%	519	6,384	32.00	8.40	0.00	0.00%	3	7
0.01	-0.03	-75.00%	26	5,228	33.00	8.20	-4.28	-34.29%	2	4
0.01	-0.01	-50.00%	137	3,137	34.00	9.30	-3.90	-29.55%	11	0
0.01	-0.01	-50.00%	22	14,996	35.00	14.78	0.00	0.00%	1	0
0.01	0.00	0.00%	73	2,554	36.00	16.95	0.00	0.00%	40	0
0.01	0.00	0.00%	105	699	37.00	11.50	-0.40	-3.36%	2	5
0.01	-0.01	-50.00%	5	1,015	38.00	18.30	0.00	0.00%	1	0
0.01	-0.01	-50.00%	7	705	39.00	15.20	0.00	0.00%	1	0
0.01	0.00	0.00%	30	4,260	40.00	14.55	-1.58	-9.80%	2	1
